type,group,id,display,meaning,examples,stage,L,rationale,syllabus_ref,reviewed,batch
base,core,employ,employ,give work to; use,"employer, employment, unemployed",s2l,medium,Two-syllable base. Derivative 'employment' at Stage 2 (-ment); 'unemployed' at Stage 2 (un-).,"Derivative reasoning: -ment (Stage 2), un- (Stage 1)",,5
base,core,encourage,encourage,support; give confidence,"encouragement, discouraging",s2l,medium,Three-syllable base. Derivative 'encouragement' at Stage 2 (-ment); 'discouraging' at Stage 2 (dis-).,"Derivative reasoning: -ment (Stage 2), dis- (Stage 2)",,5
base,core,enjoy,enjoy,like; take pleasure in,"enjoyment, enjoyable",s2e,medium,Two-syllable base. Derivative 'enjoyment' at Stage 2 (-ment); 'enjoyable' at Stage 2 (-able).,"Derivative reasoning: -ment (Stage 2), -able (Stage 2)",,5
base,core,excite,excite,make interested or happy,"excitement, exciting, unexcited",s2e,medium,Two-syllable base. Derivative 'excitement' at Stage 2 (-ment); 'unexcited' at Stage 1 (un-).,"Derivative reasoning: -ment (Stage 2), un- (Stage 1)",,5
base,core,expect,expect,think will happen,"expectation, unexpected, expectant",s2e,medium,Two-syllable base. Derivative 'unexpected' at Stage 1 (un-); earliest anchor Stage 1 → s2e.,Derivative reasoning: un- (Stage 1),,5
base,core,explore,explore,investigate,"exploration, explorer, unexplored",s2e,medium,Two-syllable base. Derivative 'explorer' at Stage 1 (-er); 'unexplored' at Stage 1 (un-).,"Derivative reasoning: -er (Stage 1), un- (Stage 1)",,5
base,core,express,express,show or say,"expression, expressive, inexpressive",s2e,medium,Two-syllable base. Derivative 'expression' at Stage 2 (-ion); 'inexpressive' at Stage 2 (in-).,"Derivative reasoning: -ion (Stage 2), in- (Stage 2)",,5
base,core,extend,extend,make longer; stretch,"extension, extensive",s2e,medium,Two-syllable base. Derivative 'extension' at Stage 3 (-ion variant) but base is two-syllable concrete; 'extend' itself uses -ed/-ing (Stage ES1). Default s2e per rule 3 adjusted to s2e (one earlier anchor via inflectional suffixes).,Derivative reasoning: -ion (Stage 3); two-syllable default s2e,,5
base,core,form,form,make; shape,"formation, reform, transform",s2e,high,"One-syllable base. Also a Stage 2 Latin root (form = shape; conform, reform). Earliest anchor Stage 2.","NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,5
base,core,friend,friend,a person you like and trust,"friendly, friendship, unfriendly",s2e,medium,"One-syllable base, default s2e. Derivative 'friendship' at Stage 1 (-ship); 'friendly' at Stage 1 (-ly); 'unfriendly' at Stage 1 (un-).","Derivative reasoning: -ship (Stage 1), -ly (Stage 1), un- (Stage 1)",,5
base,core,govern,govern,rule; manage,"government, governor",s2e,medium,Two-syllable base. Derivative 'government' at Stage 2 (-ment); 'governor' at Stage 1 (-or).,"Derivative reasoning: -or (Stage 1), -ment (Stage 2)",,5
base,core,grow,grow,increase; get bigger,"growth, grower, regrow",s2e,medium,"One-syllable base, default s2e. Derivative 'grower' at Stage 1 (-er); 'regrow' at Stage 1 (re-).","Derivative reasoning: -er (Stage 1), re- (Stage 1)",,5
base,core,help,help,give support,"helpful, helpless, helper",s2e,medium,"One-syllable base, default s2e. Derivative 'helpful' at Stage 1 (-ful); 'helpless' at Stage 2 (-less).","Derivative reasoning: -ful (Stage 1), -less (Stage 2)",,5
base,core,inform,inform,tell; give information,"information, informative",s2e,medium,Two-syllable base. Derivative 'information' at Stage 3 (-ation) but 'inform' uses -ed/-ing freely and in- (Stage 2). Two-syllable default s2e confirmed.,Derivative reasoning: in- (Stage 2); two-syllable default s2e,,5
base,core,inspire,inspire,encourage; motivate,"inspiration, inspiring",s2l,medium,Two-syllable base. Derivative 'inspiration' at Stage 3 (-ation); no earlier suffix anchor. Default s2l per rule 3.,Derivative reasoning: -ation (Stage 3); defaulting to s2l per rule 3,,5
base,core,introduce,introduce,bring in; present,"introduction, reintroduce",s2l,medium,"Three-syllable base. Derivative 'reintroduce' at Stage 1 (re-); 'introduction' at Stage 3 (-ion variant). Multi-syllable, s2l appropriate.","Derivative reasoning: re- (Stage 1), -ion (Stage 3)",,5
base,core,invest,invest,put money into,"investment, investor, reinvest",s2e,medium,Two-syllable base. Derivative 'reinvest' at Stage 1 (re-); 'investment' at Stage 2 (-ment).,"Derivative reasoning: re- (Stage 1), -ment (Stage 2)",,5
base,core,join,join,connect,"joint, conjoin, rejoice",s2e,medium,"One-syllable base, default s2e. Derivative 'rejoin' at Stage 1 (re-).",Derivative reasoning: re- (Stage 1),,5
base,core,judge,judge,decide; form an opinion,"judgement, misjudge",s2e,medium,"One-syllable base, default s2e. Derivative 'misjudge' at Stage 1 (mis-); 'judgement' at Stage 2 (-ment).","Derivative reasoning: mis- (Stage 1), -ment (Stage 2)",,5
base,core,learn,learn,gain knowledge,"learner, relearn, unlearned",s2e,medium,"One-syllable base, default s2e. Derivative 'learner' at Stage 1 (-er); 'relearn' at Stage 1 (re-).","Derivative reasoning: -er (Stage 1), re- (Stage 1)",,5
base,core,locate,locate,find where something is,"location, relocate, local",s2l,medium,"Two-syllable base. Derivative 'relocate' at Stage 1 (re-); 'location' at Stage 2 (-ion). Two-syllable default s2l, but re- anchor suggests s2e. Defaulting s2e.","Derivative reasoning: re- (Stage 1), -ion (Stage 2)",,5
base,core,manage,manage,control; run,"management, manager, unmanageable",s2e,medium,Two-syllable base. Derivative 'management' at Stage 2 (-ment); 'unmanageable' at Stage 1 (un-).,"Derivative reasoning: un- (Stage 1), -ment (Stage 2)",,5
base,core,measure,measure,find size or amount,"measurement, measurable",s2e,medium,Two-syllable base. Derivative 'measurement' at Stage 2 (-ment); 'measurable' at Stage 2 (-able).,"Derivative reasoning: -ment (Stage 2), -able (Stage 2)",,5
base,core,migrate,migrate,move to another place,"migration, migrant, immigrate",s3e,medium,Three-syllable base. Derivative 'migration' at Stage 3 (-ation); 'migrant' at Stage 3 (-ant). No earlier anchor.,"Derivative reasoning: -ation, -ant (Stage 3)",,5
base,core,motivate,motivate,make someone want to act,"motivation, motivator",s3e,medium,Four-syllable base. Derivative 'motivation' at Stage 3 (-ation); 'motivator' at Stage 1 (-or) but base complexity warrants s3e.,Derivative reasoning: -ation (Stage 3),,5
base,core,move,move,go from one place to another,"movement, remove, movable",s2e,medium,"One-syllable base, default s2e. Derivative 'movement' at Stage 2 (-ment); 'remove' at Stage 1 (re-).","Derivative reasoning: re- (Stage 1), -ment (Stage 2)",,5
base,core,observe,observe,watch carefully,"observation, observer",s3e,medium,Three-syllable base. Observe cited in Stage 3 Latin roots (observe-observatory). Derivative 'observation' at Stage 3 (-ation).,"NSW DoE Morphemes Suggested Sequence – Latin Roots, Stage 3",,5
base,core,operate,operate,work; run,"operation, operator, cooperate",s3e,medium,Four-syllable base. Derivative 'operation' at Stage 3 (-ation); 'cooperate' at Stage 2 (co-) but base itself is complex. s3e appropriate.,"Derivative reasoning: co- (Stage 2), -ation (Stage 3)",,5
base,core,organise,organise,plan and arrange,"organisation, organiser, disorganised",s2l,medium,Three-syllable base. Derivative 'disorganised' at Stage 2 (dis-); 'organiser' at Stage 1 (-er).,"Derivative reasoning: dis- (Stage 2), -er (Stage 1)",,7
base,core,participate,participate,take part,"participation, participant",s3e,medium,Five-syllable base. Derivative 'participation' at Stage 3 (-ation); 'participant' at Stage 3 (-ant). No earlier anchor.,"Derivative reasoning: -ation, -ant (Stage 3)",,7
base,core,perform,perform,do; carry out,"performance, performer, underperform",s2l,medium,Two-syllable base. Derivative 'performer' at Stage 1 (-er); 'performance' at Stage 3 (-ance). Earliest anchor -er Stage 1 → s2l (two-syllable).,"Derivative reasoning: -er (Stage 1), -ance (Stage 3)",,7
base,core,persuade,persuade,convince,"persuasion, persuasive",s3e,medium,Three-syllable base. Derivative 'persuasion' at Stage 3 (-sion); 'persuasive' at Stage 3 (-ive). No earlier anchor.,"Derivative reasoning: -sion, -ive (Stage 3)",,7
base,core,predict,predict,say before it happens,"prediction, predictable, unpredictable",s2e,medium,Two-syllable base. Derivative 'unpredictable' at Stage 1 (un-); 'prediction' at Stage 3 (-ion) but un- gives earliest anchor.,"Derivative reasoning: un- (Stage 1), pre- (Stage 1)",,7
base,core,prepare,prepare,get ready,"preparation, preparatory",s2e,medium,Two-syllable base. Derivative 'prepare' uses pre- (Stage 1) as a prefix itself. Earliest anchor Stage 1 → s2e.,Derivative reasoning: pre- (Stage 1) is part of base; -ation (Stage 3),,7
base,core,prevent,prevent,stop from happening,"prevention, preventable",s2e,medium,Two-syllable base. Derivative 'preventable' at Stage 2 (-able); 'prevention' at Stage 3 (-ion). Earliest anchor -able Stage 2 → s2e.,Derivative reasoning: -able (Stage 2),,7
base,core,produce,produce,make,"production, producer, reproduce",s2e,medium,Two-syllable base. Derivative 'reproduce' at Stage 1 (re-); 'producer' at Stage 1 (-er).,"Derivative reasoning: re- (Stage 1), -er (Stage 1)",,7
base,core,protect,protect,keep safe,"protection, protective, protector",s2e,medium,Two-syllable base. Derivative 'protector' at Stage 1 (-or); 'protection' at Stage 2 (-ion).,"Derivative reasoning: -or (Stage 1), -ion (Stage 2)",,7
base,core,react,react,respond,"reaction, reactive, overreact",s2e,medium,Two-syllable base. Derivative 'overreact' at Stage 2 (over-); 'reaction' at Stage 2 (-ion).,"Derivative reasoning: over- (Stage 2), -ion (Stage 2)",,7
base,core,reduce,reduce,make smaller,"reduction, reducible",s2l,medium,Two-syllable base. Derivative 'reducible' at Stage 2 (-ible); re- (Stage 1) is part of base. Defaulting s2l per rule 3 adjusted.,"Derivative reasoning: re- (Stage 1), -ible (Stage 2)",,7
base,core,reflect,reflect,think back; show,"reflection, reflective",s2e,medium,Two-syllable base. Derivative 're-' is part of base; 'reflection' at Stage 2 (-ion). Default s2e.,Derivative reasoning: -ion (Stage 2),,7
base,core,reject,reject,refuse,"rejection, rejected",s2e,medium,Two-syllable base. Derivative 'rejection' at Stage 2 (-ion). re- Stage 1 is part of base.,Derivative reasoning: -ion (Stage 2),,7
base,core,relate,relate,connect; link,"relation, relative, unrelated",s2e,medium,Two-syllable base. Derivative 'unrelated' at Stage 1 (un-); 'relation' at Stage 2 (-ion).,"Derivative reasoning: un- (Stage 1), -ion (Stage 2)",,7
base,core,remove,remove,take away,"removal, removable",s2e,medium,Two-syllable base. re- (Stage 1) is part of base. Derivative 'removable' at Stage 2 (-able). Default s2e.,"Derivative reasoning: re- (Stage 1), -able (Stage 2)",,7
base,core,repair,repair,fix,"repairable, disrepair",s2e,medium,Two-syllable base. re- (Stage 1) is part of base. Derivative 'disrepair' at Stage 2 (dis-). Default s2e.,"Derivative reasoning: re- (Stage 1), dis- (Stage 2)",,7
base,core,replace,replace,put in place of,"replacement, irreplaceable",s2e,medium,Two-syllable base. re- (Stage 1) is part of base. Derivative 'replacement' at Stage 2 (-ment).,"Derivative reasoning: re- (Stage 1), -ment (Stage 2)",,7
base,core,report,report,tell; write information,"reporter, reportable",s2e,medium,Two-syllable base. Derivative 'reporter' at Stage 1 (-er); re- (Stage 1) is part of base.,"Derivative reasoning: re- (Stage 1), -er (Stage 1)",,7
base,core,respect,respect,treat well; value,"respectful, disrespect, respectable",s2e,medium,Two-syllable base. Derivative 'disrespect' at Stage 2 (dis-); 'respectful' at Stage 1 (-ful).,"Derivative reasoning: -ful (Stage 1), dis- (Stage 2)",,7
base,core,respond,respond,answer,"response, responsive",s2e,medium,Two-syllable base. Derivative 'responsive' at Stage 3 (-ive) but re- (Stage 1) is part of base. Default s2e.,Derivative reasoning: re- (Stage 1); -ive (Stage 3),,7
base,core,return,return,go back; give back,"returnable, non-return",s2e,medium,Two-syllable base. re- (Stage 1) is part of base. Derivative 'returnable' at Stage 2 (-able). Default s2e.,"Derivative reasoning: re- (Stage 1), -able (Stage 2)",,7
base,core,reveal,reveal,show; make known,revelation,s2l,medium,Two-syllable base. Derivative 'revelation' at Stage 3 (-ation). No earlier suffix anchor. Default s2l per rule 3.,Derivative reasoning: -ation (Stage 3); defaulting to s2l per rule 3,,7
base,core,review,review,look again,"reviewer, reviewable",s2e,medium,Two-syllable base. re- (Stage 1) is part of base. Derivative 'reviewer' at Stage 1 (-er). Default s2e.,"Derivative reasoning: re- (Stage 1), -er (Stage 1)",,7
base,core,revise,revise,improve; study again,"revision, revisable",s2e,medium,Two-syllable base. re- (Stage 1) is part of base. Derivative 'revisable' at Stage 2 (-able). Default s2e.,"Derivative reasoning: re- (Stage 1), -able (Stage 2)",,7
base,core,rotate,rotate,turn around,"rotation, rotary",s3e,medium,Three-syllable base. Derivative 'rotation' at Stage 3 (-ation); no earlier anchor.,Derivative reasoning: -ation (Stage 3),,7
base,core,solve,solve,find an answer,"solution, dissolve, unsolvable",s2e,medium,"One-syllable base, default s2e. Derivative 'dissolve' at Stage 2 (dis-); 'unsolvable' at Stage 1 (un-).","Derivative reasoning: un- (Stage 1), dis- (Stage 2)",,7
base,core,structure,structure,arrange parts,"structural, restructure, unstructured",s2l,medium,Three-syllable base. Derivative 'restructure' at Stage 1 (re-); 'unstructured' at Stage 1 (un-). Multi-syllable → s2l.,"Derivative reasoning: re- (Stage 1), un- (Stage 1)",,7
base,core,suggest,suggest,offer an idea,"suggestion, suggestive",s2l,medium,Two-syllable base. Derivative 'suggestion' at Stage 3 (-ion variant); no earlier anchor. Default s2l per rule 3.,Derivative reasoning: -ion (Stage 3); defaulting to s2l per rule 3,,7
base,core,support,support,help; hold up,"supporter, supportive, unsupportive",s2e,medium,Two-syllable base. Derivative 'supporter' at Stage 1 (-er); 'unsupportive' at Stage 1 (un-).,"Derivative reasoning: -er (Stage 1), un- (Stage 1)",,7
base,core,transport,transport,carry from place to place,"transportation, transporter",s2e,medium,Two-syllable base. Derivative 'transporter' at Stage 1 (-er); trans- (Stage 2) is part of base; port is Stage 2 Latin root.,Derivative reasoning: -er (Stage 1); trans- (Stage 2); port- Latin root Stage 2,,7
base,core,trust,trust,believe someone will do the right thing,"trustworthy, distrust, entrust",s2e,medium,"One-syllable base, default s2e. Derivative 'distrust' at Stage 2 (dis-); 'entrust' at Stage 3 (en-).","Derivative reasoning: dis- (Stage 2), en- (Stage 3)",,7
base,core,use,use,do something with,"useful, useless, reuse",s2e,medium,"One-syllable base, default s2e. Derivative 'useful' at Stage 1 (-ful); 'useless' at Stage 2 (-less).","Derivative reasoning: -ful (Stage 1), -less (Stage 2)",,7
base,core,value,value,how much something is worth,"valuable, valueless, overvalue",s2e,medium,Two-syllable base. Derivative 'valueless' at Stage 2 (-less); 'overvalue' at Stage 2 (over-).,"Derivative reasoning: -less (Stage 2), over- (Stage 2)",,7
base,core,visit,visit,go to see,"visitor, visitation, revisit",s2e,medium,Two-syllable base. Derivative 'visitor' at Stage 1 (-or); 'revisit' at Stage 1 (re-).,"Derivative reasoning: -or (Stage 1), re- (Stage 1)",,7
base,core,watch,watch,look at for a time,"watchful, watchfulness",s2e,medium,"One-syllable base, default s2e. Derivative 'watchful' at Stage 1 (-ful).",Derivative reasoning: -ful (Stage 1),,7
base,core,write,write,put words on a page,"writer, rewrite, handwriting",s2e,medium,"One-syllable base, default s2e. Derivative 'writer' at Stage 1 (-er); 'rewrite' at Stage 1 (re-).","Derivative reasoning: -er (Stage 1), re- (Stage 1)",,7
base,core,legal,legal,allowed by law,"illegal, legality, legalise",s2l,medium,Two-syllable base. Derivative 'illegal' at Stage 2 (in-/il-); 'legalise' at Stage 3 (-ise).,"Derivative reasoning: in-/il- (Stage 2), -ise (Stage 3)",,7
base,core,logical,logical,making sense,"illogical, logically",s2l,medium,Three-syllable base. Derivative 'illogical' at Stage 2 (in-/il-); 'logically' at Stage 2 (-ally).,Derivative reasoning: in-/il- (Stage 2),,7
base,core,literate,literate,able to read and write,"illiterate, literacy",s2l,medium,Three-syllable base. Derivative 'illiterate' at Stage 2 (in-/il-). Default s2l for multi-syllable.,Derivative reasoning: in-/il- (Stage 2),,7
base,core,regular,regular,usual; even pattern,"irregular, regularly",s2l,medium,Three-syllable base. Derivative 'irregular' at Stage 2 (in-/ir-). Default s2l.,Derivative reasoning: in-/ir- (Stage 2),,7
base,core,rational,rational,reasonable; based on logic,"irrational, rationalise",s2l,medium,Three-syllable base. Derivative 'irrational' at Stage 2 (in-/ir-). Default s2l.,Derivative reasoning: in-/ir- (Stage 2),,7
base,core,responsible,responsible,can be trusted to do the right thing,"irresponsible, responsibility",s3e,medium,Five-syllable base. Derivative 'irresponsible' at Stage 2 (in-/ir-) but base itself is very complex. s3e appropriate given syllable count and abstract meaning.,Derivative reasoning: in-/ir- (Stage 2); complexity warrants s3e,,7
base,core,typical,typical,usual; common,"atypical, typically",s2l,medium,Three-syllable base. Derivative 'atypical' at Stage 3 (a-/Greek); 'typically' at Stage 2 (-ally). Default s2l.,Derivative reasoning: -ally (Stage 2),,7
base,core,hero,hero,a very brave person,"heroic, heroism, heroically",s2l,medium,Two-syllable base. Derivative 'heroism' at Stage 2 (-ism); 'heroic' at Stage 2 (-ic). NSW DoE cites hero-heroism as Stage 2 example.,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2 (hero-heroism)",,7
base,core,market,market,place to buy and sell,"marketing, supermarket, marketplace",s2e,medium,Two-syllable base. Derivative 'marketing' at ES1 (-ing); 'supermarket' at Stage 2 (super-).,"Derivative reasoning: -ing (ES1), super- (Stage 2)",,7
base,core,power,power,strength; control; energy,"powerful, powerless, overpower",s2e,medium,Two-syllable base. Derivative 'powerful' at Stage 1 (-ful); 'powerless' at Stage 2 (-less).,"Derivative reasoning: -ful (Stage 1), -less (Stage 2)",,7
base,core,fast,fast,quick,"faster, fastest, fasten",s2e,medium,"One-syllable base, default s2e. Derivative 'faster/fastest' at Stage 1 (-er/-est).","Derivative reasoning: -er, -est (Stage 1)",,7
base,anglo,anglo_0,teach,to show someone how to do something,"teacher, teaching, reteach",s2e,medium,"One-syllable base, default s2e. Derivative 'teacher' at Stage 1 (-er). NSW DoE cites teach-teacher as Stage 1 example.","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1 (teach-teacher)",,7
base,anglo,anglo_1,meet,to come together; to see someone,"meeting, greet",s2e,medium,"One-syllable base, default s2e. Derivative 'meeting' at ES1 (-ing).",Derivative reasoning: -ing (ES1),,7
base,anglo,anglo_2,rest,to relax; to stop work for a while,"restful, restless, arrest",s2e,medium,"One-syllable base, default s2e. Derivative 'restful' at Stage 1 (-ful); 'restless' at Stage 2 (-less).","Derivative reasoning: -ful (Stage 1), -less (Stage 2)",,7
base,anglo,anglo_3,go,to move from one place to another,"going, outgoing, forgo",s2e,medium,"One-syllable base, default s2e. Derivative 'outgoing' at Stage 2 (out-); 'going' at ES1 (-ing).","Derivative reasoning: -ing (ES1), out- (Stage 2)",,7
base,anglo,anglo_4,tall,having great height,"taller, tallest",s2e,medium,"One-syllable base, default s2e. NSW DoE cites tall-taller-tallest as Stage 1 inflectional examples.","NSW DoE Morphemes Suggested Sequence – Inflectional Suffixes, Stage 1 (tall-taller-tallest)",,7
base,anglo,anglo_5,help,to assist; to make easier,"helpful, helpless, helper",s2e,medium,"One-syllable base, default s2e. Derivative 'helpful' at Stage 1 (-ful). NSW DoE cites help-helpful.","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1 (help-helpful)",,7
base,anglo,anglo_6,ask,to question; to request,"asking, asked",s2e,medium,"One-syllable base, default s2e. Derivative 'asking/asked' at ES1 (-ing/-ed).","Derivative reasoning: -ing, -ed (ES1)",,7
base,anglo,anglo_7,eat,to consume food,"eating, eaten, eater",s2e,medium,"One-syllable base, default s2e. Derivative 'eaten' at Stage 1 (-en). NSW DoE cites eat-eaten.","NSW DoE Morphemes Suggested Sequence – Inflectional Suffixes, Stage 1 (eat-eaten)",,7
base,anglo,anglo_8,train,to practise to improve; to teach,"trainer, training, retrain",s2e,medium,"One-syllable base, default s2e. Derivative 'trainer' at Stage 1 (-er); 'retrain' at Stage 1 (re-).","Derivative reasoning: -er (Stage 1), re- (Stage 1)",,7
base,anglo,anglo_9,usual,common; normal,"usually, unusual, unusually",s2e,medium,Two-syllable base. Derivative 'unusual' at Stage 1 (un-). NSW DoE cites unusual as Stage 1 un- example.,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 1 (un-: unusual)",,7
base,anglo,anglo_10,end,to finish; the final part,"ending, endless, endlessly",s2e,medium,"One-syllable base, default s2e. Derivative 'endless' at Stage 2 (-less); 'ending' at ES1 (-ing).","Derivative reasoning: -ing (ES1), -less (Stage 2)",,7
base,anglo,anglo_11,turn,to change direction; to rotate,"turning, return, overturn",s2e,medium,"One-syllable base, default s2e. Derivative 'return' at Stage 1 (re-); 'overturn' at Stage 2 (over-).","Derivative reasoning: re- (Stage 1), over- (Stage 2)",,7
base,anglo,anglo_12,open,not closed; to make not closed,"openly, openness, reopen",s2e,medium,Two-syllable base. Derivative 'reopen' at Stage 1 (re-); 'openness' at Stage 2 (-ness).,"Derivative reasoning: re- (Stage 1), -ness (Stage 2)",,7
base,anglo,anglo_13,make,to create; to build,"maker, remake, handmade",s2e,medium,"One-syllable base, default s2e. Derivative 'maker' at Stage 1 (-er); 'remake' at Stage 1 (re-).","Derivative reasoning: -er (Stage 1), re- (Stage 1)",,7
base,anglo,anglo_14,jump,to push off the ground into the air,"jumping, jumped, jumper",s2e,medium,"One-syllable base, default s2e. Derivative 'jumper' at Stage 1 (-er); 'jumping/jumped' at ES1 (-ing/-ed).","Derivative reasoning: -ing, -ed (ES1), -er (Stage 1)",,7
base,anglo,anglo_15,bad,not good; poor quality,"badly, badness",s2e,medium,"One-syllable base, default s2e. Derivative 'badly' at Stage 1 (-ly); 'badness' at Stage 2 (-ness).","Derivative reasoning: -ly (Stage 1), -ness (Stage 2)",,7
base,anglo,anglo_16,lock,to fasten with a key; a fastening device,"locker, unlock, locking",s2e,medium,"One-syllable base, default s2e. Derivative 'unlock' at Stage 1 (un-); 'locker' at Stage 1 (-er).","Derivative reasoning: un- (Stage 1), -er (Stage 1)",,7
base,anglo,anglo_17,move,to change position; to go,"movement, remove, movable",s2e,medium,"One-syllable base, default s2e. Derivative 'remove' at Stage 1 (re-); 'movement' at Stage 2 (-ment).","Derivative reasoning: re- (Stage 1), -ment (Stage 2)",,7
base,anglo,anglo_18,like,to enjoy; to prefer,"likeable, unlikely, dislike",s2e,medium,"One-syllable base, default s2e. Derivative 'unlikely' at Stage 1 (un-); 'dislike' at Stage 2 (dis-).","Derivative reasoning: un- (Stage 1), dis- (Stage 2)",,7
base,anglo,anglo_19,care,to look after; to feel concern,"careful, careless, caretaker",s2e,medium,"One-syllable base, default s2e. Derivative 'careful' at Stage 1 (-ful); 'careless' at Stage 2 (-less).","Derivative reasoning: -ful (Stage 1), -less (Stage 2)",,7
base,anglo,anglo_20,happy,feeling joy; pleased,"happiness, happily, unhappy",s2e,medium,Two-syllable base. Derivative 'unhappy' at Stage 1 (un-); 'happiness' at Stage 2 (-ness). NSW DoE cites happy-happiness and happy-happily across Stage 1–2.,"NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 1 & 2",,7
base,anglo,anglo_21,push,to press forward with force,"pushing, pushed, pushy",s2e,medium,"One-syllable base, default s2e. Derivative 'pushing/pushed' at ES1; 'push-pushes' at Stage 1. NSW DoE cites push-pushes.","NSW DoE Morphemes Suggested Sequence – Inflectional Suffixes, Stage 1 (push-pushes)",,7
base,anglo,anglo_22,zip,to fasten with a zip; to move quickly,"zipping, zipped, unzip",s2e,medium,"One-syllable base, default s2e. Derivative 'unzip' at Stage 1 (un-); 'zipping/zipped' at ES1.","Derivative reasoning: -ing, -ed (ES1), un- (Stage 1)",,7
base,anglo,anglo_23,take,to get; to carry; to accept,"taking, overtake, undertake",s2e,medium,"One-syllable base, default s2e. Derivative 'overtake' at Stage 2 (over-); 'undertake' at Stage 2 (under-).","Derivative reasoning: over- (Stage 2), under- (Stage 2)",,7
base,anglo,anglo_24,see,to look at; to notice,"seeing, foresee, oversee",s2e,medium,"One-syllable base, default s2e. Derivative 'oversee' at Stage 2 (over-); 'foresee' at Stage 3 (fore-).",Derivative reasoning: over- (Stage 2),,7
base,anglo,anglo_25,brisk,quick and energetic,"briskly, briskness",s2e,medium,"One-syllable base, default s2e. Derivative 'briskly' at Stage 1 (-ly); 'briskness' at Stage 2 (-ness).","Derivative reasoning: -ly (Stage 1), -ness (Stage 2)",,7
base,anglo,anglo_26,wake,to stop sleeping,"waking, awake, rewake",s2e,medium,"One-syllable base, default s2e. Derivative 'rewake' at Stage 1 (re-); 'waking' at ES1 (-ing).","Derivative reasoning: -ing (ES1), re- (Stage 1)",,7
base,anglo,anglo_27,send,to cause to go to a place; to post,"sender, sending",s2e,medium,"One-syllable base, default s2e. Derivative 'sender' at Stage 1 (-er); 'sending' at ES1 (-ing).","Derivative reasoning: -ing (ES1), -er (Stage 1)",,7
base,anglo,anglo_28,round,shaped like a circle,"rounded, roundness, surround",s2e,medium,"One-syllable base, default s2e. Derivative 'rounded' at ES1 (-ed); 'roundness' at Stage 2 (-ness).","Derivative reasoning: -ed (ES1), -ness (Stage 2)",,7
base,anglo,anglo_29,cloud,a mass of water droplets in the sky,"cloudy, cloudless, cloudiness",s2e,medium,"One-syllable base, default s2e. Derivative 'cloudy' at Stage 1 (-y); 'cloudless' at Stage 2 (-less).","Derivative reasoning: -y (Stage 1), -less (Stage 2)",,7
base,anglo,anglo_30,pay,to give money for something,"payment, repay, payable",s2e,medium,"One-syllable base, default s2e. Derivative 'repay' at Stage 1 (re-); 'payment' at Stage 2 (-ment).","Derivative reasoning: re- (Stage 1), -ment (Stage 2)",,7
base,anglo,anglo_31,lift,to raise; to pick up,"lifting, uplifting, shoplifter",s2e,medium,"One-syllable base, default s2e. Derivative 'lifting' at ES1 (-ing); 'uplifting' at Stage 2 (up- variant of out-/over-).",Derivative reasoning: -ing (ES1),,7
base,anglo,anglo_32,pack,to put things together for carrying; a bundle,"packing, unpack, backpack",s2e,medium,"One-syllable base, default s2e. Derivative 'unpack' at Stage 1 (un-); 'packing' at ES1 (-ing).","Derivative reasoning: -ing (ES1), un- (Stage 1)",,7
base,anglo,anglo_33,sound,something you hear; noise,"soundless, resound, soundly",s2e,medium,"One-syllable base, default s2e. Derivative 'soundly' at Stage 1 (-ly); 'soundless' at Stage 2 (-less).","Derivative reasoning: -ly (Stage 1), -less (Stage 2)",,7
base,anglo,anglo_34,correct,right; accurate,"correctly, incorrect, correction",s2e,medium,Two-syllable base. Derivative 'incorrect' at Stage 2 (in-); 'correctly' at Stage 1 (-ly).,"Derivative reasoning: -ly (Stage 1), in- (Stage 2)",,7
base,anglo,anglo_35,part,a piece of something; a section,"partly, partial, impartial",s2e,medium,"One-syllable base, default s2e. Derivative 'partly' at Stage 1 (-ly); 'partial' at Stage 2 (-al).","Derivative reasoning: -ly (Stage 1), -al (Stage 2)",,7
base,anglo,anglo_36,live,to be alive; to reside,"lively, livelihood, relive",s2e,medium,"One-syllable base, default s2e. Derivative 'lively' at Stage 1 (-ly); 'relive' at Stage 1 (re-).","Derivative reasoning: -ly (Stage 1), re- (Stage 1)",,7
base,anglo,anglo_37,sad,unhappy; feeling sorrow,"sadly, sadness, saddened",s2e,medium,"One-syllable base, default s2e. Derivative 'sadly' at Stage 2 (-ly). NSW DoE cites sad-sadly as Stage 2 example.","NSW DoE Morphemes Suggested Sequence – Derivational Suffixes, Stage 2 (sad-sadly)",,7
base,anglo,anglo_38,trust,to believe someone is reliable; belief,"trustworthy, distrust, entrust",s2e,medium,"One-syllable base, default s2e. Derivative 'distrust' at Stage 2 (dis-); 'entrust' at Stage 3 (en-).",Derivative reasoning: dis- (Stage 2),,7
